tas,	Year, Month, Country
25.1928,1966,8,KOR
17.934,1966,9,KOR
13.0237,1966,10,KOR
5.36364,1966,11,KOR
-1.8773,1966,12,KOR
-4.496,1967,1,KOR
-2.2488,1967,2,KOR
4.43118,1967,3,KOR
10.2552,1967,4,KOR
17.2246,1967,5,KOR
20.3021,1967,6,KOR
23.904,1967,7,KOR
25.8681,1967,8,KOR
18.8692,1967,9,KOR
12.8485,1967,10,KOR
5.42065,1967,11,KOR
-4.3835,1967,12,KOR
-3.7698,1968,1,KOR
-4.4584,1968,2,KOR
3.95536,1968,3,KOR
10.8794,1968,4,KOR
14.8537,1968,5,KOR
19.7375,1968,6,KOR
23.4394,1968,7,KOR
23.1155,1968,8,KOR
18.9142,1968,9,KOR
11.4329,1968,10,KOR
6.44844,1968,11,KOR
2.44979,1968,12,KOR
-3.6124,1969,1,KOR
-2.6134,1969,2,KOR
2.14711,1969,3,KOR
9.83892,1969,4,KOR
15.1424,1969,5,KOR
19.22,1969,6,KOR
22.8853,1969,7,KOR
23.8138,1969,8,KOR
18.9656,1969,9,KOR
12.0215,1969,10,KOR
4.32458,1969,11,KOR
-2.2163,1969,12,KOR
-4.8812,1970,1,KOR
-0.482,1970,2,KOR
0.4072,1970,3,KOR
9.94806,1970,4,KOR
15.8808,1970,5,KOR
18.8617,1970,6,KOR
22.3666,1970,7,KOR
24.1302,1970,8,KOR
19.5246,1970,9,KOR
13.1444,1970,10,KOR
5.03072,1970,11,KOR
-1.3061,1970,12,KOR
-3.5106,1971,1,KOR
-1.5842,1971,2,KOR
2.1136,1971,3,KOR
10.0763,1971,4,KOR
15.3569,1971,5,KOR
19.8582,1971,6,KOR
23.7629,1971,7,KOR
22.9534,1971,8,KOR
18.6555,1971,9,KOR
11.4707,1971,10,KOR
6.93253,1971,11,KOR
-1.136,1971,12,KOR
-0.219,1972,1,KOR
-1.2755,1972,2,KOR
4.14423,1972,3,KOR
10.0772,1972,4,KOR
14.4256,1972,5,KOR
20.1467,1972,6,KOR
23.7263,1972,7,KOR
22.4464,1972,8,KOR
17.6387,1972,9,KOR
12.527,1972,10,KOR
4.73065,1972,11,KOR
-0.6964,1972,12,KOR
-0.9191,1973,1,KOR
0.12957,1973,2,KOR
3.74228,1973,3,KOR
11.4403,1973,4,KOR
15.3532,1973,5,KOR
19.6836,1973,6,KOR
25.6135,1973,7,KOR
25.1941,1973,8,KOR
18.6203,1973,9,KOR
11.7396,1973,10,KOR
4.3545,1973,11,KOR
-2.9712,1973,12,KOR
