pr,	Year, Month, Country
159.012,1934,6,KOR
517.728,1934,7,KOR
228.061,1934,8,KOR
215.604,1934,9,KOR
37.6373,1934,10,KOR
46.4715,1934,11,KOR
57.6551,1934,12,KOR
13.9756,1935,1,KOR
18.8439,1935,2,KOR
31.202,1935,3,KOR
105.189,1935,4,KOR
88.7728,1935,5,KOR
188.609,1935,6,KOR
250.466,1935,7,KOR
184.457,1935,8,KOR
100.116,1935,9,KOR
58.8125,1935,10,KOR
61.3678,1935,11,KOR
25.3025,1935,12,KOR
11.2407,1936,1,KOR
25.6425,1936,2,KOR
31.1768,1936,3,KOR
145.383,1936,4,KOR
53.5034,1936,5,KOR
138.949,1936,6,KOR
282.284,1936,7,KOR
606.192,1936,8,KOR
263.698,1936,9,KOR
11.5321,1936,10,KOR
23.4129,1936,11,KOR
65.5488,1936,12,KOR
24.3862,1937,1,KOR
65.3202,1937,2,KOR
70.7732,1937,3,KOR
132.148,1937,4,KOR
84.629,1937,5,KOR
109.972,1937,6,KOR
195.962,1937,7,KOR
128.397,1937,8,KOR
140.661,1937,9,KOR
78.9087,1937,10,KOR
42.8259,1937,11,KOR
24.1124,1937,12,KOR
22.1099,1938,1,KOR
29.6389,1938,2,KOR
101.876,1938,3,KOR
16.4955,1938,4,KOR
200.368,1938,5,KOR
151.395,1938,6,KOR
140.237,1938,7,KOR
165.003,1938,8,KOR
81.9112,1938,9,KOR
140.347,1938,10,KOR
18.8853,1938,11,KOR
20.5214,1938,12,KOR
15.1875,1939,1,KOR
18.6752,1939,2,KOR
51.8259,1939,3,KOR
63.978,1939,4,KOR
70.7519,1939,5,KOR
102.732,1939,6,KOR
89.3564,1939,7,KOR
128.032,1939,8,KOR
113.193,1939,9,KOR
54.1836,1939,10,KOR
68.7318,1939,11,KOR
4.47654,1939,12,KOR
13.1042,1940,1,KOR
38.5512,1940,2,KOR
19.7121,1940,3,KOR
79.1498,1940,4,KOR
41.8253,1940,5,KOR
177.378,1940,6,KOR
326.74,1940,7,KOR
129.654,1940,8,KOR
193.665,1940,9,KOR
77.9551,1940,10,KOR
29.2781,1940,11,KOR
29.7285,1940,12,KOR
19.9003,1941,1,KOR
18.5239,1941,2,KOR
56.8309,1941,3,KOR
55.0275,1941,4,KOR
148.754,1941,5,KOR
250.348,1941,6,KOR
280.044,1941,7,KOR
305.144,1941,8,KOR
109.437,1941,9,KOR
47.6998,1941,10,KOR
71.2861,1941,11,KOR
26.8457,1941,12,KOR
12.625,1942,1,KOR
31.6572,1942,2,KOR
131.645,1942,3,KOR
71.787,1942,4,KOR
61.3961,1942,5,KOR
75.3779,1942,6,KOR
77.9408,1942,7,KOR
295.057,1942,8,KOR
274.376,1942,9,KOR
21.3221,1942,10,KOR
17.206,1942,11,KOR
9.45735,1942,12,KOR
4.95146,1943,1,KOR
15.4072,1943,2,KOR
54.2979,1943,3,KOR
34.9157,1943,4,KOR
66.1957,1943,5,KOR
137.908,1943,6,KOR
224.934,1943,7,KOR
84.6828,1943,8,KOR
151.001,1943,9,KOR
75.8481,1943,10,KOR
32.8421,1943,11,KOR
11.2211,1943,12,KOR
7.08701,1944,1,KOR
21.4765,1944,2,KOR
26.5445,1944,3,KOR
110.974,1944,4,KOR
65.3749,1944,5,KOR
100.785,1944,6,KOR
182.671,1944,7,KOR
154.488,1944,8,KOR
180.639,1944,9,KOR
24.9722,1944,10,KOR
90.9944,1944,11,KOR
18.9266,1944,12,KOR
4.864,1945,1,KOR
13.0954,1945,2,KOR
131.259,1945,3,KOR
45.8699,1945,4,KOR
96.4084,1945,5,KOR
287.444,1945,6,KOR
319.596,1945,7,KOR
165.1,1945,8,KOR
209.719,1945,9,KOR
132.548,1945,10,KOR
16.0536,1945,11,KOR
23.0809,1945,12,KOR
16.732,1946,1,KOR
17.2358,1946,2,KOR
88.0003,1946,3,KOR
65.6947,1946,4,KOR
90.968,1946,5,KOR
420.248,1946,6,KOR
101.409,1946,7,KOR
196.188,1946,8,KOR
176.724,1946,9,KOR
53.1205,1946,10,KOR
25.5494,1946,11,KOR
29.3295,1946,12,KOR
58.0567,1947,1,KOR
5.34968,1947,2,KOR
45.4699,1947,3,KOR
53.6937,1947,4,KOR
72.4161,1947,5,KOR
219.683,1947,6,KOR
375.146,1947,7,KOR
191.399,1947,8,KOR
147.95,1947,9,KOR
38.8948,1947,10,KOR
28.5529,1947,11,KOR
44.1837,1947,12,KOR
54.9615,1948,1,KOR
12.3479,1948,2,KOR
69.7035,1948,3,KOR
66.8571,1948,4,KOR
110.207,1948,5,KOR
228.648,1948,6,KOR
436.889,1948,7,KOR
214.101,1948,8,KOR
243.273,1948,9,KOR
30.1143,1948,10,KOR
21.3768,1948,11,KOR
71.9823,1948,12,KOR
24.6258,1949,1,KOR
45.8659,1949,2,KOR
41.6283,1949,3,KOR
62.8468,1949,4,KOR
71.089,1949,5,KOR
192.94,1949,6,KOR
217.403,1949,7,KOR
115.339,1949,8,KOR
134.835,1949,9,KOR
26.4604,1949,10,KOR
34.7358,1949,11,KOR
26.8572,1949,12,KOR
70.6349,1950,1,KOR
59.1209,1950,2,KOR
60.3816,1950,3,KOR
64.7733,1950,4,KOR
72.1571,1950,5,KOR
219.44,1950,6,KOR
209.531,1950,7,KOR
96.341,1950,8,KOR
154.444,1950,9,KOR
54.0234,1950,10,KOR
34.4015,1950,11,KOR
19.2831,1950,12,KOR
20.367,1951,1,KOR
55.546,1951,2,KOR
72.8855,1951,3,KOR
70.1312,1951,4,KOR
140.965,1951,5,KOR
87.4867,1951,6,KOR
153.092,1951,7,KOR
217.247,1951,8,KOR
73.4473,1951,9,KOR
66.4374,1951,10,KOR
61.2973,1951,11,KOR
52.4834,1951,12,KOR
7.80733,1952,1,KOR
44.7969,1952,2,KOR
64.8224,1952,3,KOR
99.796,1952,4,KOR
47.972,1952,5,KOR
80.8626,1952,6,KOR
188.772,1952,7,KOR
197.923,1952,8,KOR
228.15,1952,9,KOR
73.2542,1952,10,KOR
73.8283,1952,11,KOR
24.9514,1952,12,KOR
21.2965,1953,1,KOR
30.2603,1953,2,KOR
76.8472,1953,3,KOR
48.3668,1953,4,KOR
138.132,1953,5,KOR
349.4,1953,6,KOR
308.902,1953,7,KOR
218.088,1953,8,KOR
50.1132,1953,9,KOR
75.3849,1953,10,KOR
42.6013,1953,11,KOR
49.2791,1953,12,KOR
40.0774,1954,1,KOR
116.512,1954,2,KOR
45.8517,1954,3,KOR
96.0267,1954,4,KOR
114.725,1954,5,KOR
260.828,1954,6,KOR
470.109,1954,7,KOR
